"","Address","Suburb","Postcode","Brand","ServiceStationName","FuelCode","lon","lat"
"1","345 Avoca Street, RANDWICK NSW 2031","RANDWICK",2031,"Independent","Ultra Randwick","P98",151.2398325,-33.9253528
"2","257 Guildford Rd, GUILDFORD NSW 2161","GUILDFORD",2161,"BP","BP Guildford","P98",150.9887873,-33.8542855
"3","8-10 Perouse Road, RANDWICK NSW 2031","RANDWICK",2031,"BP","BP Randwick","P98",151.2421524,-33.91899
"4","33-37 Carrington Rd, RANDWICK NSW 2031","RANDWICK",2031,"BP","BP CLOVELLY","P98",151.2525812,-33.9065066
"5","987 Hume Highway, Lansdowne NSW 2163","Lansdowne",2163,"Metro Fuel","Metro Lansdowne","P98",150.9708735,-33.8892764
"6","323 River Street, BALLINA NSW 2478","BALLINA",2478,"Metro Fuel","Metro Petroleum Ballina","P98",153.5504332,-28.865993
"7","307-309 Bexley Rd, BEXLEY NORTH NSW 2207","BEXLEY NORTH",2207,"Metro Fuel","Metro Petroleum Bexley North","P98",151.1147736,-33.939867
"8","1 Dandaloo Street, Narromine NSW 2821","Narromine",2821,"BP","BP Narromine","P98",148.2401164,-32.2265453
"9","444 West Botany Street, ROCKDALE NSW 2216","ROCKDALE",2216,"BP","BP Rockdale","P98",151.1457386,-33.9599094
"10","126 Windsor Rd, MCGRATHS HILL NSW 2756","MCGRATHS HILL",2756,"BP","BP McGraths Hill","P98",150.8335887,-33.6152714
"11","129 Piccadilly St, Riverstone NSW 2765","Riverstone",2765,"Independent","Independent Riverstone","P98",150.8667758,-33.6762357
"12","196 Riverstone Pde, RIVERSTONE NSW 2765","RIVERSTONE",2765,"BP","BP Riverstone","P98",150.8548481,-33.6645472
"13","362 Putty Road, Wilberforce NSW 2756","Wilberforce",2756,"BP","BP Wilberforce","P98",150.8301421,-33.5287176
"14","105 Bent St, SOUTH GRAFTON NSW 2460","SOUTH GRAFTON",2460,"United","United Grafton","P98",152.9398537,-29.7071695
"15","209-211 Rothery St, Bellambi NSW 2518","Bellambi",2518,"Metro Fuel","Metro Fuel Bellambi","P98",150.9101201,-34.3683005
"16","32 Moss Vale Road, Kangaroo Valley NSW 2577","Kangaroo Valley",2577,"Mobil","Mobil Kangaroo Valley","P98",150.5217476,-34.7300695
"17","896A Woodville Rd, Villawood NSW 2163","Villawood",2163,"Independent","APEX PETROLEUM VILLAWOOD","P98",150.9760272,-33.8838909
"18","186 Nasmyth St, Young NSW 2594","Young",2594,"Metro Fuel","Metro Fuel Young","P98",148.2911613,-34.3096988
"19","93a Wallsend St, KAHIBAH NSW 2290","KAHIBAH",2290,"BP","BP Kahibah Food and Fuel","P98",151.7099619,-32.9631822
"20","12 Hawkesbury Valley Way, WINDSOR NSW 2756","WINDSOR",2756,"7-Eleven","7-Eleven Windsor","P98",150.8121279,-33.6118058
"21","149 Nancy Bird Walton Dr, Kew NSW 2439","Kew",2439,"Independent","Independent Kew","P98",152.723595,-31.633669
"22","1540 Windsor Road, Vineyard NSW 2765","Vineyard",2765,"Independent","FREEDOM FUEL VINEYARD","P98",150.8626849,-33.6499171
"23","125 Dora Street, Morisset NSW 2264","Morisset",2264,"Caltex Woolworths","Caltex Woolworths Morisset","P98",151.4815821,-33.1116103
"24","26 Mitchell St, Eden NSW 2551","Eden",2551,"Shell","Ben Boyd Service Station","P98",149.9030581,-37.0636827
"25","1 Coonamble Road (Warren Fuels), Warren NSW 2824","Warren",2824,"Independent","Independent Warren","P98",147.8405024,-31.695421
"26","1004 Botany Rd., Mascot NSW 2020","Mascot",2020,"Budget","BUDGET PETROL MASCOT","P98",151.1936435,-33.9327122
"27","700 Victoria Rd, ERMINGTON NSW 2115","ERMINGTON",2115,"Metro Fuel","Metro Fuel Ermington","P98",151.06615,-33.8085583
"28","275 Bay Street, Brighton-Le-Sands NSW 2216","Brighton-Le-Sands",2216,"Budget","Budget Brighton","P98",151.1531144,-33.9599129
"29","57 High Street, Wauchope NSW 2446","Wauchope",2446,"Independent","B & E Doherty P/L Independent Wauchope","P98",152.7305054,-31.457197
"30","Pacific Highway, Coolongolook NSW 2423","Coolongolook",2423,"BP","BP Coolongolook","P98",152.322483,-32.2167882
"31","26 Inverell Street, Delungra NSW 2403","Delungra",2403,"Shell","Shell Delungra","P98",150.8271013,-29.6528654
"32","Henry Lawson Drive, Bankstown NSW 2200","Bankstown",2200,"BP","BP Bankstown Airport","P98",150.983598,-33.9384156
"33","5 Bullecourt Avenue, Milperra NSW 2214","Milperra",2214,"BP","BP Milperra","P98",150.9890147,-33.9374584
"34","21 Boundary Road, Mortdale NSW 2223","Mortdale",2223,"BP","BP Mortdale","P98",151.0736108,-33.9706429
"35","Cnr Priestly & Cavendish Sts, Mittagong NSW 2575","Mittagong",2575,"BP","BP Mittagong","P98",NA,NA
"36","24-42 King Georges Road, Wiley Park NSW 2195","Wiley Park",2195,"BP","BP Wiley Park","P98",151.0665139,-33.9191884
"37","115 Fairford Rd, Padstow NSW 2211","Padstow",2211,"Caltex","Caltex Padstow","P98",151.0345043,-33.9433313
"38","41-43 Epping Rd Cnr Wicks Rd, North Ryde NSW 2113","North Ryde",2113,"Caltex Woolworths","Caltex North Ryde","P98",151.1312402,-33.7913943
"39","600 Liverpool Rd, STRATHFIELD SOUTH NSW 2136","STRATHFIELD SOUTH",2136,"Caltex","Caltex Strathfield South","P98",151.0750667,-33.8884839
"40","198-199 Great Western Hwy, HAZELBROOK NSW 2779","HAZELBROOK",2779,"Caltex Woolworths","Caltex Hazelbrook","P98",150.452084,-33.7210678
"41","153 Forest Way, Belrose NSW 2085","Belrose",2085,"Caltex","Caltex Belrose","P98",151.2210816,-33.7347533
"42","50 Alliance Avenue, Morisset NSW 2264","Morisset",2264,"BP","BP Morisset","P98",151.4776596,-33.1163628
"43","204 Goulburn Street, CROOKWELL NSW 2583","CROOKWELL",2583,"Mobil","MOBIL 1 CROOKWELL","P98",149.4742044,-34.4606849
"44","32 Joseph St, LIDCOMBE NSW 2141","LIDCOMBE",2141,"Westside","Westside Petroleum Lidcombe","P98",151.0432344,-33.8648656
"45","63 Maitland Street, Bingara NSW 2404","Bingara",2404,"Shell","Shell Bingara","P98",150.5729761,-29.871027
"46","505 Crown St, West Wollongong NSW 2500","West Wollongong",2500,"Caltex","Caltex West Wollongong","P98",150.8725123,-34.4255018
"47","11 Macquarie Street, Windsor NSW 2756","Windsor",2756,"Caltex Woolworths","Caltex Woolworths Windsor","P98",150.8233241,-33.6056601
"48","862 Hume Highway, Bass Hill NSW 2197","Bass Hill",2197,"Caltex Woolworths","Caltex Woolworths Bass Hill","P98",150.9990874,-33.9010513
"49","280-282 Canley Vale Road, CANLEY HEIGHTS NSW 2166","CANLEY HEIGHTS",2166,"Caltex","Caltex Star Mart Canley Heights","P98",150.9241242,-33.8838593
"50","Smithfield Rd, Cnr Elizabeth Drive, BONNYRIGG NSW 2177","BONNYRIGG",2177,"Caltex","Caltex Star Mart Bonnyrigg","P98",150.8811669,-33.888388
"51","2 Bridges Road, MOOREBANK NSW 2170","MOOREBANK",2170,"Caltex","Caltex Moorebank","P98",150.9326885,-33.9283581
"52","110 Lane Cove Road, RYDE NSW 2112","RYDE",2112,"Caltex","Caltex Ryde Self Serve","P98",151.1137633,-33.8014733
"53","166 John St, CABRAMATTA NSW 2166","CABRAMATTA",2166,"Caltex","Caltex Cabramatta","P98",150.9279904,-33.8941699
"54","9 Flinders St, Wollongong North NSW 2500","Wollongong North",2500,"Caltex","Caltex Wollongong North","P98",150.8931953,-34.4151195
"55","797 Pennant Hills Road, CARLINGFORD NSW 2118","CARLINGFORD",2118,"Caltex Woolworths","CALTEX STAR SHOP CARLINGFORD COURT","P98",151.051656,-33.775782
"56","6,Doyle Rd, Revesby NSW 2210","Revesby",2210,"Metro Fuel","Metro Revesby","P98",151.0184172,-33.9455778
"57","65 Bexley Rd, Campsie NSW 2194","Campsie",2194,"Budget","BUDGET PETROL BEXLEY ROAD CAMPSIE","P98",151.1067478,-33.9223709
"58","2893 Nelson Bay Rd, SALT ASH NSW 2318","SALT ASH",2318,"Caltex","Caltex Salt ash","P98",151.9335494,-32.7868472
"59","131 Pennant Hills Rd, CARLINGFORD NSW 2118","CARLINGFORD",2118,"Caltex Woolworths","Caltex Woolworths Carlingford","P98",151.0279186,-33.7876133
"60","332-336 Shellharbour Rd, BARRACK HEIGHTS NSW 2528","BARRACK HEIGHTS",2528,"Caltex","Caltex Star Mart Barrack Heights","P98",150.8597784,-34.5648919
"61","5-11 Bvd, MORISSET NSW 2264","MORISSET",2264,"Caltex","Caltex Star Mart Morisset","P98",151.501,-33.115
"62","162 Maitland Road, SANDGATE NSW 2304","SANDGATE",2304,"Caltex","SANDGATE SELF SERVE","P98",151.7061704,-32.8650429
"63","3356 Putty Road, Colo Heights NSW 2756","Colo Heights",2756,"Caltex","Caltex Colo Heights","P98",150.7096809,-33.3654318
"64","10 Langford Drive, MARSDEN PARK NSW 2765","MARSDEN PARK",2765,"Costco","Costco Marsden Park (Members only)","P98",150.8400435,-33.7212934
"65","20 Parkersfarm Place, Casula NSW 2170","Casula",2170,"Costco","Costco Casula (Members only)","P98",150.8794728,-33.9595641
"66","254a Richardson Street, Spring Farm NSW 2570","Spring Farm",2570,"Caltex Woolworths","Caltex Woolworths Spring Farm","P98",150.7298343,-34.0685077
"67","24-26 Gavenlock Road, Tuggerah NSW 2259","Tuggerah",2259,"Caltex Woolworths","Caltex Woolworths Tuggerah","P98",151.4148602,-33.3091958
"68","64 Orange Grove Rd, WARWICK FARM NSW 2170","WARWICK FARM",2170,"Metro Fuel","Metro Petroleum Liverpool","P98",150.9198407,-33.9123641
"69","20 Carrington Street, Crookwell NSW 2583","Crookwell",2583,"Metro Fuel","Metro Crookwell","P98",149.4595116,-34.4550549
