Address,lon,lat,SA2
"323 River Street, BALLINA NSW 2478",153.5504332,-28.865993,Ballina
"Bungalow ROAD, North Ballina NSW 2478",153.5629067,-28.8379654,Ballina
"36-38 Lane Cove Rd, RYDE NSW 2112",151.1086039,-33.8075114,Ryde
"533,Mowbray Rd, Lane Cove NSW 2066",151.1660548,-33.8061513,Chatswood (West) - Lane Cove North
"276 Miller Road, Villawood NSW 2144",150.9920889,-33.8876146,Chester Hill - Sefton
"88 Clovelly Rd, RANDWICK NSW 2031",151.2486566,-33.9091451,Randwick - North
"13 Canterbury Road, CANTERBURY NSW 2193",151.1252332,-33.9078127,Canterbury (North) - Ashbury
"150 Pacific Hwy, TUGGERAH NSW 2259",151.4206578,-33.3004696,Tuggerah - Kangy Angy
"111 Sutton St, COOTAMUNDRA NSW 2590",148.0246285,-34.6440316,Cootamundra
"307-309 Bexley Rd, BEXLEY NORTH NSW 2207",151.1147736,-33.939867,Kingsgrove (South) - Bardwell Park
"394 Crown St, WOLLONGONG NSW 2500",150.8775645,-34.4258121,Wollongong - West
"80 Main Road, Cliftleigh NSW 2321",151.5191694,-32.7918726,Kurri Kurri - Abermain
"55 Pacific Highway, Ulmarra NSW 2462",153.3480172,-29.0701828,Evans Head
"107 Anderson Drive, TARRO NSW 2322",151.6588276,-32.8076497,Beresfield - Hexham
"103 Sydemham Road, Marrickville NSW 2204",151.163393,-33.9101975,Marrickville
"32 Princes Hwy, Arncliffe NSW 2205",151.1521309,-33.9345813,Arncliffe - Bardwell Valley
"531 Princes Hwy, TEMPE NSW 2044",151.1675351,-33.9202656,Sydenham - Tempe - St Peters
"102 Wollombi Rd, CESSNOCK NSW 2325",151.3438965,-32.8383421,Cessnock
"57 Central Coast Highway, West Gosford NSW 2250",151.3287673,-33.4268641,Gosford - Springfield
"709 Cabramatta Road, Bonnyrigg NSW 2177",150.8926273,-33.8930572,Bonnyrigg Heights - Bonnyrigg
"61 Maitland Road, SANDGATE NSW 2304",151.7120357,-32.8731538,Shortland - Jesmond
"3055 New England Highway, WALLABADAH NSW 2343",150.8268025,-31.5506501,Quirindi
"Newell Highway, Tomingley NSW 2869",148.2111949,-32.622623,Narromine
"30 Bridge Street, EPPING NSW 2121",151.0796162,-33.7747506,Epping - North Epping
"6b 1-10 Amy Close, WYONG NSW 2259",151.4369355,-33.2681031,Wyong
"126 Windsor Rd, MCGRATHS HILL NSW 2756",150.8335887,-33.6152714,Pitt Town - McGraths Hill
"163-165 Parramatta Rd, HABERFIELD NSW 2045",151.1345345,-33.8836487,Haberfield - Summer Hill
"6,Doyle Rd, Revesby NSW 2210",151.0184172,-33.9455778,Revesby
"209-211 Rothery St, Bellambi NSW 2518",150.9101201,-34.3683005,Corrimal - Tarrawanna - Bellambi
"380 Wollombi Rd, BELLBIRD NSW 2325",151.3246726,-32.8542678,Cessnock
"186 Nasmyth St, Young NSW 2594",148.2911613,-34.3096988,Young
"146 William Street, BATHURST NSW 2795",149.5776413,-33.420495,Bathurst
"419-437 Goonoo-Goonoo Road, Tamworth NSW 2340",150.9234047,-31.1283913,Tamworth - East
"273 Parramatta Rd, Haberfield NSW 2045",151.1286204,-33.8749898,Haberfield - Summer Hill
"37 Crystal St., Petersham NSW 2049",151.1586491,-33.8901281,Petersham - Stanmore
"1 Dunn Road, Smeaton Grange NSW 2567",150.7562632,-34.0322968,Mount Annan - Currans Hill
"54c Fairfield Road, GUILDFORD WEST NSW 2161",150.962571,-33.846516,Guildford West - Merrylands West
"740 Hume Highway, Yagoona NSW 2199",151.0113872,-33.904903,Yagoona - Birrong
"19 Sydney Road, KELSO NSW 2795",149.6024557,-33.4190309,Bathurst - East
"93-99 Addison Road, Marrickville NSW 2204",151.1645486,-33.9024308,Marrickville
"28 Sawtell Rd, TOORMINA NSW 2452",153.1002241,-30.3521585,Sawtell - Boambee
"144 Parramatta Rd, GRANVILLE NSW 2142",151.0108811,-33.8303724,Granville - Clyde
"Smithfield Rd, Cnr Elizabeth Drive, BONNYRIGG NSW 2177",150.8811669,-33.888388,Bonnyrigg Heights - Bonnyrigg
"86 Kenthurst Road, Kenthurst NSW 2156",151.010796,-33.6821972,Dural - Kenthurst - Wisemans Ferry
"403 Canterbury Road, Campsie NSW 2194",151.108698,-33.9161108,Canterbury (South) - Campsie
