"","ServiceStationName","Address","Suburb","Postcode","Brand","FuelCode","PriceUpdatedDate","Price","date","Holiday.Name","Information","More.Information","Jurisdiction"
"1664","BP Aberdare","81 Aberdare Rd, ABERDARE NSW 2325","ABERDARE","2325","BP","U91",2020-05-02 09:12:20,84.5,2020-05-02,NA,NA,NA,NA
"2914","BP Aberdare","81 Aberdare Rd, ABERDARE NSW 2325","ABERDARE","2325","BP","U91",2020-05-04 04:11:24,86.5,2020-05-04,NA,NA,NA,NA
"3191","BP Aberdare","81 Aberdare Rd, ABERDARE NSW 2325","ABERDARE","2325","BP","U91",2020-05-04 08:46:24,84.5,2020-05-04,NA,NA,NA,NA
"3195","Independent Lennox Head","44-48 Byron St, Lennox Head NSW 2478","Lennox Head","2478","Independent","P98",2020-05-04 08:46:54,148.9,2020-05-04,NA,NA,NA,NA
"3196","Independent Lennox Head","44-48 Byron St, Lennox Head NSW 2478","Lennox Head","2478","Independent","U91",2020-05-04 08:46:54,127.9,2020-05-04,NA,NA,NA,NA
"3197","Independent Lennox Head","44-48 Byron St, Lennox Head NSW 2478","Lennox Head","2478","Independent","DL",2020-05-04 08:46:54,129.9,2020-05-04,NA,NA,NA,NA
"3198","Independent Lennox Head","44-48 Byron St, Lennox Head NSW 2478","Lennox Head","2478","Independent","P95",2020-05-04 08:46:54,137.9,2020-05-04,NA,NA,NA,NA
"4412","Shell Aberdare","68 Aberdare Road, Aberdare NSW 2325","Aberdare","2325","Shell","U91",2020-05-05 07:19:13,89.5,2020-05-05,NA,NA,NA,NA
"4946","Independent West Ballina","482 River Street, West Ballina NSW 2478","West Ballina","2478","Independent","U91",2020-05-05 12:18:44,125.9,2020-05-05,NA,NA,NA,NA
"4947","Independent West Ballina","482 River Street, West Ballina NSW 2478","West Ballina","2478","Independent","P95",2020-05-05 12:18:44,137.9,2020-05-05,NA,NA,NA,NA
"4948","Independent West Ballina","482 River Street, West Ballina NSW 2478","West Ballina","2478","Independent","P98",2020-05-05 12:18:44,144.9,2020-05-05,NA,NA,NA,NA
